x,freq
bueno,23
grande,19
mayor,15
mismo,11
malo,8
mejor,8
vulgar,8
facil,7
atento,6
dificultoso,6
raro,6
perfecto,5
propio,5
sublime,5
mal,4
peor,4
sabio,4
seguro,4
agena,3
contrario,3
medio,3
solo,3
aparente,2
breve,2
bruto,2
contento,2
cortés,2
desta,2
dulce,2
duro,2
encuentranse,2
heroico,2
humano,2
necio,2
ordinario,2
peligroso,2
prudente,2
relevante,2
transcendente,2
vengança,2
verdadero,2
actual,1
adverso,1
afortunado,1
ajustanse,1
alçanse,1
alçar,1
amable,1
amargo,1
amigo,1
anciano,1
apacible,1
apegadizo,1
audazes,1
avaro,1
aziago,1
bello,1
breras,1
calçaronse,1
caprichoso,1
censor,1
ceremonial,1
civil,1
comienca,1
compañia,1
común,1
concupiscible,1
conse,1
conveniente,1
corto,1
creible,1
criminal,1
cuerdo,1
della,1
denandola,1
derecho,1
descre,1
deslizadero,1
deslustranse,1
despierto,1
desto,1
dexa,1
diferente,1
digno,1
eficaz,1
embidiosa,1
eminente,1
enemigo,1
enfadoso,1
entendedor,1
erudito,1
espias,1
eterno,1
excelente,1
extraordinario,1
extravagante,1
favorable,1
fiero,1
finito,1
fiscal,1
glorioso,1
grandioso,1
hidalgo,1
igual,1
impertinente,1
importante,1
inaccessible,1
inapassionable,1
inconstante,1
increible,1
inestimable,1
inmenso,1
irascible,1
irremediable,1
juizio,1
juiziosos,1
juzganse,1
ligero,1
lisonjero,1
liviano,1
loco,1
magestuoso,1
maldiciente,1
mania,1
material,1
maxima,1
mediano,1
menor,1
menudo,1
mero,1
natural,1
necessario,1
ocioso,1
odioso,1
pedio,1
penoso,1
peregrino,1
perjuizio,1
pernicioso,1
personal,1
pesado,1
plausible,1
ponçoñosa,1
precioso,1
presente,1
presto,1
presuntuoso,1
principal,1
profundo,1
pronto,1
qual,1
quan,1
querria,1
racional,1
repugnante,1
retentivo,1
ridiculo,1
sabroso,1
sagaz,1
serio,1
simple,1
singular,1
siniestro,1
soberaria,1
soñoliento,1
superficial,1
suyo,1
tentador,1
tibio,1
tonto,1
tuerto,1
unclear,1
universal,1
urgente,1
valiente,1
varonil,1
venial,1
venturo,1
vitoria,1
