x,freq
hombre,26
necedad,18
sabio,13
vez,12
amigo,11
fama,11
verdad,11
atencion,10
cordura,10
necio,10
cuerdo,9
fortuna,8
nunca,7
tiempo,7
trato,7
vida,7
arte,6
felicidad,6
gusto,6
hase,6
persona,6
quanto,6
afecto,5
aplauso,5
credo,5
descredo,5
dia,5
eminencia,5
ingenio,5
menester,5
mero,5
prenda,5
reputacion,5
valor,5
vulgaridad,5
ageno,4
caso,4
contrario,4
defecto,4
descuido,4
discreto,4
empleo,4
emulacion,4
engaño,4
especie,4
estimacion,4
excesso,4
infelicidad,4
mal,4
malicia,4
materia,4
modo,4
negocio,4
palabra,4
passion,4
suerte,4
treta,4
vsar,4
amistad,3
cargo,3
concepto,3
conocer,3
conversacion,3
cuidado,3
desdoro,3
deseo,3
desprecio,3
dignidad,3
enemigo,3
entendimiento,3
facilidad,3
favor,3
fenix,3
genio,3
humor,3
imaginacion,3
impertinencia,3
leon,3
malevolencia,3
monstruo,3
parte,3
passiones,3
paz,3
pecho,3
peligro,3
precio,3
proposo,3
remedio,3
saber,3
secreto,3
sera,3
siglo,3
sol,3
superioridad,3
ventaja,3
voluntad,3
vulgo,3
acaso,2
acción,2
admiracion,2
agravio,2
ahogo,2
amor,2
apariencia,2
aprieto,2
ausencia,2
benevolencia,2
burla,2
capacidad,2
cara,2
carta,2
categoria,2
causa,2
censura,2
ciencia,2
compassion,2
comprehension,2
comunicacion,2
confiança,2
coraçon,2
correspondencia,2
cuerpo,2
della,2
demas,2
desdichado,2
desengaño,2
dictamen,2
diligencia,2
discrecion,2
disgusto,2
dizen,2
empeño,2
enfado,2
escuse,2
espiritu,2
excelencia,2
exercicio,2
fidelidad,2
fondo,2
galanteria,2
generosidad,2
gente,2
gracia,2
grandeza,2
grano,2
gravedad,2
guerra,2
hazer,2
hazerla,2
impressiones,2
imprudencia,2
informacion,2
invidia,2
juego,2
lengua,2
ley,2
llaneza,2
lucimiento,2
magestad,2
malo,2
mano,2
mente,2
mentira,2
mundo,2
naturaleza,2
novedad,2
obligacion,2
obligación,2
obra,2
ocasión,2
ordinario,2
perfeccion,2
perfección,2
pesar,2
prodigio,2
prudencia,2
puerta,2
puesto,2
ramo,2
razón,2
recato,2
reconsejo,2
reflexion,2
regla,2
respeto,2
riesgo,2
roma,2
sabiduria,2
santo,2
satisfacion,2
señal,2
seso,2
sinderesis,2
son,2
sospecha,2
sublimidad,2
sustancia,2
tema,2
tiento,2
unico,2
uso,2
valer,2
vengança,2
vera,2
verbo,2
voz,2
abominacion,1
abono,1
abuso,1
acavallo,1
accio,1
acerréa,1
achaque,1
adelantase,1
adversidad,1
advertencia,1
advertencta,1
afectacion,1
aguard,1
aguera,1
alabança,1
alçóse,1
alimento,1
aliño,1
alma,1
ama,1
año,1
apa,1
aplau,1
apreton,1
arbitrio,1
arcanidad,1
arma,1
assi,1
astros,1
astucia,1
atrevimiento,1
audacia,1
